"cust_id","usage_month","usage_year","usage_date","usage_ccf","et_amount","hhsize","irr_area","cust_class","rate_code","meter_size","water_type","sort_index","variable_bill","total_bill","X1","X2","X3","X4","XR1","XR2","XR3","XR4","X5","XR5","hypothetical_usage","baseline_variable_bill","baseline_bill","B1","B2","B3","B4","BR1","BR2","BR3","BR4","B5","BR5","baseline_usage"
833857,1,2014,2014-01-01,5,2.5,4,1134,"RESIDENTIAL_SINGLE","R1","1""","POTABLE",14736,15,26.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7.45,18.84,5,0,0,0,7.45,0,0,0,0,0,5
833858,1,2014,2014-01-01,10,2.5,5,725,"RESIDENTIAL_SINGLE","R1","1""","POTABLE",14737,30,41.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,14.9,26.29,10,0,0,0,14.9,0,0,0,0,0,10
833859,1,2014,2014-01-01,9,2.5,6,1392,"RESIDENTIAL_SINGLE","R1","1""","POTABLE",14738,27,38.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,13.41,24.8,9,0,0,0,13.41,0,0,0,0,0,9
833861,1,2014,2014-01-01,14,2.5,4,2213,"RESIDENTIAL_SINGLE","R1","1""","POTABLE",14739,42,53.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,23.75,35.14,9,3,2,0,13.41,5.1,5.24,0,0,0,14
833862,1,2014,2014-01-01,16,2.5,4,1118,"RESIDENTIAL_SINGLE","R1","1""","POTABLE",14740,48,59.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,33.43,44.82,9,2,3,2,13.41,3.4,7.86,8.76,0,0,16
833863,1,2014,2014-01-01,12,2.5,4,1380,"RESIDENTIAL_SINGLE","R1","1""","POTABLE",14741,36,47.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,19.43,30.82,9,2,1,0,13.41,3.4,2.62,0,0,0,12
833865,1,2014,2014-01-01,12,2.5,4,2903,"RESIDENTIAL_SINGLE","R1","1""","POTABLE",14742,36,47.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,18.51,29.9,9,3,0,0,13.41,5.1,0,0,0,0,12
833866,1,2014,2014-01-01,6,2.5,4,2101,"RESIDENTIAL_SINGLE","R1","1""","POTABLE",14743,18,29.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,8.94,20.33,6,0,0,0,8.94,0,0,0,0,0,6
833867,1,2014,2014-01-01,2,0.91,4,1811,"RESIDENTIAL_SINGLE","R1","1""","POTABLE",14744,6,17.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2.98,14.37,2,0,0,0,2.98,0,0,0,0,0,2
833868,1,2014,2014-01-01,9,2.5,4,2842,"RESIDENTIAL_SINGLE","R1","1""","POTABLE",14745,27,38.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,13.41,24.8,9,0,0,0,13.41,0,0,0,0,0,9
833869,1,2014,2014-01-01,21,2.5,4,2035,"RESIDENTIAL_SINGLE","R1","1""","POTABLE",14746,63,74.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,62.23,73.62,9,3,3,4,13.41,5.1,7.86,17.52,2,18.34,21
833872,1,2014,2014-01-01,5,2.5,4,2452,"RESIDENTIAL_SINGLE","R1","1""","POTABLE",14747,15,26.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7.45,18.84,5,0,0,0,7.45,0,0,0,0,0,5
833873,1,2014,2014-01-01,3,2.5,4,2829,"RESIDENTIAL_SINGLE","R1","1""","POTABLE",14748,9,20.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4.47,15.86,3,0,0,0,4.47,0,0,0,0,0,3
833874,1,2014,2014-01-01,11,2.5,4,3586,"RESIDENTIAL_SINGLE","R1","1""","POTABLE",14749,33,44.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,16.81,28.2,9,2,0,0,13.41,3.4,0,0,0,0,11
833875,1,2014,2014-01-01,43,2.5,4,4042,"RESIDENTIAL_SINGLE","R1","1""","POTABLE",14750,129,140.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,235.01,246.4,9,6,4,4,13.41,10.2,10.48,17.52,20,183.4,43
